ID,Title,Genre,SinopsisPalabra,Sinopsis
10165,Nichijou,Comedy,Nichijou.primarily.focuses.on.the.daily.antics.of.a.trio.of.childhood.friends—high.school.girls.Mio.Naganohara.Yuuko.Aioi.and.Mai.Minakami—whose.stories.soon.intertwine.with.the.young.genius.Hakase.Shinonome.her.robot.caretaker.Nano.and.their.talking.cat.Sakamoto.With.every.passing.day.the.lives.of.these.six.as.well.as.of.the.many.people.around.them.experience.both.the.calms.of.normal.life.and.the.insanity.of.the.absurd.Walking.to.school.being.bitten.by.a.talking.crow.spending.time.with.friends.and.watching.the.principal.suplex.a.deer:.they.are.all.in.a.day's.work.in.the.extraordinary.everyday.lives.of.those.in.Nichijou.,"Nichijou primarily focuses on the daily antics of a trio of childhood friends—high school girls Mio Naganohara, Yuuko Aioi and Mai Minakami—whose stories soon intertwine with the young genius Hakase Shinonome, her robot caretaker Nano, and their talking cat Sakamoto. With every passing day, the lives of these six, as well as of the many people around them, experience both the calms of normal life and the insanity of the absurd. Walking to school, being bitten by a talking crow, spending time with friends, and watching the principal suplex a deer: they are all in a day's work in the extraordinary everyday lives of those in Nichijou."
12431,Uchuu Kyoudai,Comedy.SciFi,On.a.fateful.summer.night.in.2006.Mutta.Nanba.and.his.younger.brother.Hibito.witness.what.they.believe.to.be.a.UFO.flying.toward.the.Moon.This.impressing.and.unusual.phenomenon.leads.both.siblings.vowing.to.become.astronauts.with.Hibito.aiming.for.the.Moon.and.Mutta.convinced.that.the.eldest.brother.has.to.be.one.step.ahead.for.Mars.Now.an.adult.life.hasn't.turned.out.how.Mutta.had.pictured.it:.he.is.diligently.working.in.an.automotive.company.whereas.Hibito.is.on.his.way.to.be.the.very.first.Japanese.man.to.step.on.the.Moon.However.after.losing.his.job.Mutta.is.presented.with.an.unexpected.opportunity.to.catch.up.to.his.younger.brother.when.the.Japanese.Aerospace.Exploration.Agency.commonly.known.as.JAXA.accepts.his.application.to.participate.in.the.next.astronaut.selection.Despite.self-doubts.about.his.prospects.Mutta.is.unwilling.to.waste.this.chance.of.a.lifetime.and.thus.embarks.on.an.ambitious.journey.to.fulfill.the.promise.made.19.years.ago.,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars. Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago."
3297,Aria the Origination,Fantasy.SciFi.SliceofLife,"In.the.24th.century.on.the.planet.Aqua.three.girls—Akari.Mizunashi.Alice.Carroll.and.Aika.S.Granzchesta—continue.to.work.hard.toward.achieving.their.goal.of.becoming.Prima.Undines:.professional.tour.guide.gondoliers.Luckily.the.girls.have.the.guidance.of.the.three.best.Prima.Undines.in.Neo-Venezia—Alicia.Florence.Athena.Glory.and.Akira.E.Ferrari—who.are.known.as.the.""Water.Fairies"".in.honor.of.their.skill.With.their.help.the.young.apprentices.train.hard.and.work.to.overcome.any.situations.that.they.find.themselves.in.Aria.The.Origination.follows.the.hardships.and.daily.lives.of.these.three.young.girls.who.are.doing.their.best.to.improve.as.tour.gondoliers.in.Neo-Venezia.a.terraformed.replica.of.Venice.","In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in. Aria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice."
34798,Yuru Camp,SliceofLife,While.the.perfect.getaway.for.most.girls.her.age.might.be.a.fancy.vacation.with.their.loved.ones.Rin.Shima's.ideal.way.of.spending.her.days.off.is.camping.alone.at.the.base.of.Mount.Fuji.From.pitching.her.tent.to.gathering.firewood.she.has.always.done.everything.by.herself.and.has.no.plans.of.leaving.her.little.solitary.world.However.what.starts.off.as.one.of.Rin's.usual.camping.sessions.somehow.ends.up.as.a.surprise.get-together.for.two.when.the.lost.Nadeshiko.Kagamihara.is.forced.to.take.refuge.at.her.campsite.Originally.intending.to.see.the.picturesque.view.of.Mount.Fuji.for.herself.Nadeshiko's.plans.are.disrupted.when.she.ends.up.falling.asleep.partway.to.her.destination.Alone.and.with.no.other.choice.she.seeks.help.from.the.only.other.person.nearby.Despite.their.hasty.introductions.the.two.girls.nevertheless.enjoy.the.chilly.night.together.eating.ramen.and.conversing.while.the.campfire.keeps.them.warm.And.even.after.Nadeshiko's.sister.finally.picks.her.up.later.that.night.both.girls.silently.ponder.the.possibility.of.another.camping.trip.together.,"While the perfect getaway for most girls her age might be a fancy vacation with their loved ones, Rin Shima's ideal way of spending her days off is camping alone at the base of Mount Fuji. From pitching her tent to gathering firewood, she has always done everything by herself, and has no plans of leaving her little solitary world. However, what starts off as one of Rin's usual camping sessions somehow ends up as a surprise get-together for two when the lost Nadeshiko Kagamihara is forced to take refuge at her campsite. Originally intending to see the picturesque view of Mount Fuji for herself, Nadeshiko's plans are disrupted when she ends up falling asleep partway to her destination. Alone and with no other choice, she seeks help from the only other person nearby. Despite their hasty introductions, the two girls nevertheless enjoy the chilly night together, eating ramen and conversing while the campfire keeps them warm. And even after Nadeshiko's sister finally picks her up later that night, both girls silently ponder the possibility of another camping trip together."
467,Koukaku Kidoutai: Stand Alone Complex,Action.AwardWinning.SciFi,"In.the.not.so.distant.future.mankind.has.advanced.to.a.state.where.complete.body.transplants.from.flesh.to.machine.is.possible.This.allows.for.great.increases.in.both.physical.and.cybernetic.prowess.and.blurring.the.lines.between.the.two.worlds.However.criminals.can.also.make.full.use.of.such.technology.leading.to.new.and.sometimes.very.dangerous.crimes.In.response.to.such.innovative.new.methods.the.Japanese.Government.has.established.Section.9.an.independently.operating.police.unit.which.deals.with.such.highly.sensitive.crimes.Led.by.Daisuke.Aramaki.and.Motoko.Kusanagi.Section.9.deals.with.such.crimes.over.the.entire.social.spectrum.usually.with.success.However.when.faced.with.a.new.A.level.hacker.nicknamed.""The.Laughing.Man."".the.team.is.thrown.into.a.dangerous.cat.and.mouse.game.following.the.hacker's.trail.as.it.leaves.its.mark.on.Japan.","In the not so distant future, mankind has advanced to a state where complete body transplants from flesh to machine is possible. This allows for great increases in both physical and cybernetic prowess and blurring the lines between the two worlds. However, criminals can also make full use of such technology, leading to new and sometimes, very dangerous crimes. In response to such innovative new methods, the Japanese Government has established Section 9, an independently operating police unit which deals with such highly sensitive crimes. Led by Daisuke Aramaki and Motoko Kusanagi, Section 9 deals with such crimes over the entire social spectrum, usually with success. However, when faced with a new A level hacker nicknamed ""The Laughing Man,"" the team is thrown into a dangerous cat and mouse game, following the hacker's trail as it leaves its mark on Japan."
7785,Yojouhan Shinwa Taikei,AwardWinning.Comedy.Mystery.Romance,One.autumn.evening.at.a.mysterious.ramen.stand.behind.the.Shimogamo.Shrine.a.lonely.third-year.college.student.bumps.into.a.man.with.an.eggplant-shaped.head.who.calls.himself.a.god.of.matrimony.Meeting.this.man.causes.the.student.to.reflect.upon.his.past.two.years.at.college—two.years.bitterly.spent.trying.to.break.up.couples.on.campus.with.his.only.friend.Ozu.a.ghoulish-looking.man.seemingly.set.on.making.his.life.as.miserable.as.possible.Resolving.to.make.the.most.out.of.the.rest.of.his.college.life.the.student.attempts.to.ask.out.the.unsociable.but.kind-hearted.underclassman.Akashi.yet.fails.to.follow.through.prompting.him.to.regret.not.living.out.his.college.life.differently.As.soon.as.this.thought.passes.through.his.head.however.he.is.hurtled.through.time.and.space.to.the.beginning.of.his.years.at.college.and.given.another.chance.to.live.his.life.Surreal.artistic.and.mind-bending.Yojouhan.Shinwa.Taikei.chronicles.the.misadventures.of.a.young.man.on.a.journey.to.make.friends.find.love.and.experience.the.rose-colored.campus.life.he.always.dreamed.of.,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life. Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of."
877,Nana,Drama.Romance,Departing.from.their.respective.hometowns.two.young.women.with.identical.names.are.brought.together.in.their.pursuit.of.new.beginnings.With.their.hearts.set.on.going.to.Tokyo.Nana.Komatsu.dreams.about.blissful.love.while.Nana.Osaki.aims.for.a.successful.music.career.The.former.has.a.cheerful.and.friendly.nature.but.her.naivety.has.steered.her.romantic.life.astray.until.she.meets.her.dependable.boyfriend—Shouji.Endo.Without.letting.herself.be.dismayed.by.Shouji's.decision.to.study.in.Tokyo.Nana.works.hard.to.earn.enough.money.and.follow.him.there.Meanwhile.her.namesake.is.a.solitary.punk.vocalist.whose.impassioned.romance.with.her.band's.bassist.Ren.Honjou.comes.to.a.sudden.end.Though.heartbroken.Nana.bravely.looks.forward.and.travels.to.the.capital.with.the.ambition.of.becoming.a.recognized.artist.Shortly.after.they.arrive.in.Tokyo.the.girls.cross.paths.again.due.to.an.unexpected.coincidence.that.ultimately.leads.them.to.live.under.the.same.roof.As.they.grow.closer.the.two.strive.to.support.one.another.amid.their.struggles.to.forge.a.future.for.themselves.,"Departing from their respective hometowns, two young women with identical names are brought together in their pursuit of new beginnings. With their hearts set on going to Tokyo, Nana Komatsu dreams about blissful love, while Nana Osaki aims for a successful music career. The former has a cheerful and friendly nature, but her naivety has steered her romantic life astray until she meets her dependable boyfriend—Shouji Endo. Without letting herself be dismayed by Shouji's decision to study in Tokyo, Nana works hard to earn enough money and follow him there. Meanwhile, her namesake is a solitary punk vocalist whose impassioned romance with her band's bassist, Ren Honjou, comes to a sudden end. Though heartbroken, Nana bravely looks forward and travels to the capital with the ambition of becoming a recognized artist. Shortly after they arrive in Tokyo, the girls cross paths again due to an unexpected coincidence that ultimately leads them to live under the same roof. As they grow closer, the two strive to support one another amid their struggles to forge a future for themselves."
35839,Sora yori mo Tooi Basho,Adventure.Comedy.Drama,Filled.with.an.overwhelming.sense.of.wonder.for.the.world.around.her.Mari.Tamaki.has.always.dreamt.of.what.lies.beyond.the.reaches.of.the.universe.However.despite.harboring.such.large.aspirations.on.the.inside.her.fear.of.the.unknown.and.anxiety.over.her.own.possible.limitations.have.always.held.her.back.from.chasing.them.But.now.in.her.second.year.of.high.school.Mari.is.more.determined.than.ever.to.not.let.any.more.of.her.youth.go.to.waste.Still.her.fear.continues.to.prevent.her.from.taking.that.ambitious.step.forward—that.is.until.she.has.a.chance.encounter.with.a.girl.who.has.grand.dreams.of.her.own.Spurred.by.her.mother's.disappearance.Shirase.Kobuchizawa.has.been.working.hard.to.fund.her.trip.to.Antarctica.Despite.facing.doubt.and.ridicule.from.virtually.everyone.Shirase.is.determined.to.embark.on.this.expedition.to.search.for.her.mother.in.a.place.further.than.the.universe.itself.Inspired.by.Shirase's.resolve.Mari.jumps.at.the.chance.to.join.her.Soon.their.efforts.attract.the.attention.of.the.bubbly.Hinata.Miyake.who.is.eager.to.stand.out.and.Yuzuki.Shiraishi.a.polite.girl.from.a.high.class.background.Together.they.set.sail.toward.the.frozen.south.Sora.yori.mo.Tooi.Basho.follows.the.captivating.journey.of.four.spirited.girls.all.in.search.of.something.great,"Filled with an overwhelming sense of wonder for the world around her, Mari Tamaki has always dreamt of what lies beyond the reaches of the universe. However, despite harboring such large aspirations on the inside, her fear of the unknown and anxiety over her own possible limitations have always held her back from chasing them. But now, in her second year of high school, Mari is more determined than ever to not let any more of her youth go to waste. Still, her fear continues to prevent her from taking that ambitious step forward—that is, until she has a chance encounter with a girl who has grand dreams of her own. Spurred by her mother's disappearance, Shirase Kobuchizawa has been working hard to fund her trip to Antarctica. Despite facing doubt and ridicule from virtually everyone, Shirase is determined to embark on this expedition to search for her mother in a place further than the universe itself. Inspired by Shirase's resolve, Mari jumps at the chance to join her. Soon, their efforts attract the attention of the bubbly Hinata Miyake, who is eager to stand out, and Yuzuki Shiraishi, a polite girl from a high class background. Together, they set sail toward the frozen south. Sora yori mo Tooi Basho follows the captivating journey of four spirited girls, all in search of something great"
41389,Tonikaku Kawaii,Comedy.Romance,"Nasa.Yuzaki.is.determined.to.leave.his.name.in.the.history.books.Ranking.first.in.the.national.mock.exam.and.aiming.for.a.distinguished.high.school,.he.is.certain.that.he.has.his.whole.life.mapped.out.However,.fate.is.a.fickle.mistress.On.his.way.home.one.snowy.evening,.Nasa's.eyes.fall.upon.a.peerless.beauty.across.the.street.Bewitched,.Nasa.tries.to.approach.her.only.to.get.blindsided.by.an.oncoming.truck.Thankfully,.his.life.is.spared.due.to.the.girl's.swift.action.Bleeding.by.the.side.of.an.ambulance,.he.watches.as.the.girl.walks.away.under.the.moonlight.reminiscent.of.Princess.Kaguya.leaving.for.the.moon.Refusing.to.let.this.chance.meeting.end,.he.forces.his.crippled.body.to.chase.after.her.and.asks.her.out.Surprised.by.his.foolhardiness.and.pure.resolve,.the.girl.accepts.his.confession.under.a.single.condition:.they.can.only.be.together.if.he.marries.her!","Nasa Yuzaki is determined to leave his name in the history books. Ranking first in the national mock exam and aiming for a distinguished high school, he is certain that he has his whole life mapped out. However, fate is a fickle mistress. On his way home one snowy evening, Nasa's eyes fall upon a peerless beauty across the street. Bewitched, Nasa tries to approach her only to get blindsided by an oncoming truck. Thankfully, his life is spared due to the girl's swift action. Bleeding by the side of an ambulance, he watches as the girl walks away under the moonlight reminiscent of Princess Kaguya leaving for the moon. Refusing to let this chance meeting end, he forces his crippled body to chase after her and asks her out. Surprised by his foolhardiness and pure resolve, the girl accepts his confession under a single condition: they can only be together if he marries her!"
